definition,rule,threshold_mode,climate_regime,stratum,n_stations,n_zero,component,estimate_pp,ci_low_pp,ci_high_pp
annual,strict,refitted,C_temperate,all,15,0,hot_marginal,12.583621683967705,5.6747404844290665,22.44752018454442
annual,strict,refitted,C_temperate,all,15,0,excess_joint,-1.1072664359861595,-6.737024221453287,5.3056516724336795
annual,strict,refitted,C_temperate,positive,15,0,joint_change,16.862745098039213,6.2745098039215685,35.29411764705882
annual,strict,refitted,C_temperate,positive,15,0,dry_marginal,5.38638985005767,1.384083044982699,15.640138408304496
annual,strict,refitted,C_temperate,positive,15,0,hot_marginal,12.583621683967705,5.6747404844290665,22.44752018454442
annual,strict,refitted,C_temperate,positive,15,0,excess_joint,-1.1072664359861595,-6.737024221453287,5.3056516724336795
annual,strict,refitted,Dsa_cold_dry_summer,all,9,0,joint_change,22.222222222222218,5.228758169934641,53.59477124183007
annual,strict,refitted,Dsa_cold_dry_summer,all,9,0,dry_marginal,8.304498269896193,1.2110726643598613,24.01095732410612
annual,strict,refitted,Dsa_cold_dry_summer,all,9,0,hot_marginal,13.533256439830833,4.651095732410611,27.585544021530175
annual,strict,refitted,Dsa_cold_dry_summer,all,9,0,excess_joint,0.3844675124951946,-6.805074971164935,6.920415224913494
annual,strict,refitted,Dsa_cold_dry_summer,positive,9,0,joint_change,22.222222222222218,5.228758169934641,53.59477124183007
annual,strict,refitted,Dsa_cold_dry_summer,positive,9,0,dry_marginal,8.304498269896193,1.2110726643598613,24.01095732410612
annual,strict,refitted,Dsa_cold_dry_summer,positive,9,0,hot_marginal,13.533256439830833,4.651095732410611,27.585544021530175
annual,strict,refitted,Dsa_cold_dry_summer,positive,9,0,excess_joint,0.3844675124951946,-6.805074971164935,6.920415224913494
annual,dry_inclusive_only,refitted,All,all,104,0,joint_change,18.665158371040725,5.99547511312217,38.348416289592755
annual,dry_inclusive_only,refitted,All,all,104,0,dry_marginal,5.712669683257918,0.02478706414692521,13.173742347617774
annual,dry_inclusive_only,refitted,All,all,104,0,hot_marginal,13.568006388075597,7.364336571732764,26.87000931594358
annual,dry_inclusive_only,refitted,All,all,104,0,excess_joint,-0.6155177002927859,-4.708544051104602,2.7881288261911115
