index_name,station_id,station_name,baseline_period,comparison_period,baseline_mean_days,comparison_mean_days,late_minus_baseline_days,expected_direction,direction_consistent
warm_nights,40832,Bandar-E- Mahshahr,1991-2007,2008-2024,32.470588235294116,77.29411764705883,44.82352941176471,increase,True
warm_nights,40833,Omidiyeh (Aghajari),1991-2007,2008-2024,34.125,70.58823529411765,36.46323529411765,increase,True
warm_nights,40835,Dogonbadan,1991-2007,2008-2024,33.8125,57.5625,23.75,increase,True
warm_nights,40836,Yasuj,1991-2007,2008-2024,32.88235294117647,31.5625,-1.319852941176471,increase,False
warm_nights,40839,Anar,1991-2007,2008-2024,33.705882352941174,58.705882352941174,25.0,increase,True
warm_nights,40841,Kerman,1991-2007,2008-2024,33.1764705882353,56.23529411764706,23.05882352941176,increase,True
warm_nights,40844,Dorudzan,1991-2007,2008-2024,29.764705882352942,24.88235294117647,-4.882352941176471,increase,False
warm_nights,40847,Zarqan,1991-2007,2008-2024,34.88235294117647,81.82352941176471,46.94117647058824,increase,True
warm_nights,40848,Shiraz,1991-2007,2008-2024,31.88235294117647,26.705882352941178,-5.1764705882352935,increase,False
warm_nights,40849,Shahrebabak,1991-2007,2008-2024,32.588235294117645,43.1764705882353,10.588235294117652,increase,True
warm_nights,40851,Sirjan,1991-2007,2008-2024,33.411764705882355,56.88235294117647,23.470588235294116,increase,True
warm_nights,40853,Baft,1991-2007,2008-2024,31.058823529411764,70.76470588235294,39.705882352941174,increase,True
warm_nights,40854,Bam,1991-2007,2008-2024,33.05882352941177,76.58823529411765,43.529411764705884,increase,True
warm_nights,40856,Zahedan,1991-2007,2008-2024,34.88235294117647,52.11764705882353,17.235294117647058,increase,True
warm_nights,40857,Bushehr (Coastal),1991-2007,2008-2024,32.294117647058826,68.41176470588235,36.11764705882352,increase,True
warm_nights,40858,Bushehr (Airport),1991-2007,2008-2024,30.705882352941178,83.52941176470588,52.82352941176471,increase,True
warm_nights,40859,Fasa,1991-2007,2008-2024,32.470588235294116,91.52941176470588,59.05882352941177,increase,True
warm_nights,40870,Khash,1991-2007,2008-2024,34.76470588235294,57.11764705882353,22.352941176470587,increase,True
warm_nights,40873,Lar,1991-2007,2008-2024,31.764705882352942,67.6470588235294,35.882352941176464,increase,True
warm_nights,40875,Bandarabbas,1991-2007,2008-2024,31.294117647058822,53.64705882352941,22.35294117647059,increase,True
warm_nights,40876,Minab,1991-2007,2008-2024,31.88235294117647,61.529411764705884,29.647058823529413,increase,True
warm_nights,40877,Kahnuj,1991-2007,2008-2024,31.0,58.705882352941174,27.705882352941174,increase,True
warm_nights,40878,Saravan,1991-2007,2008-2024,33.1764705882353,48.588235294117645,15.411764705882348,increase,True
warm_nights,40879,Iranshahr,1991-2007,2008-2024,31.41176470588235,53.23529411764706,21.823529411764707,increase,True
warm_nights,40882,Kish Island,1991-2007,2008-2024,30.529411764705884,63.94117647058823,33.41176470588235,increase,True
warm_nights,40883,Bandar-E-Lengeh,1991-2007,2008-2024,32.529411764705884,39.470588235294116,6.941176470588232,increase,True
warm_nights,40889,Siri Island,1991-2007,2008-2024,29.0,54.1764705882353,25.176470588235297,increase,True
warm_nights,40890,Abumusa Island,1991-2007,2008-2024,30.294117647058822,45.88235294117647,15.588235294117649,increase,True
warm_nights,40893,Jask,1991-2007,2008-2024,30.470588235294116,50.35294117647059,19.88235294117647,increase,True
warm_nights,40898,Chahbahar,1991-2007,2008-2024,32.11764705882353,89.41176470588235,57.29411764705882,increase,True
warm_nights,88187,Jam,1991-2007,2008-2024,32.5,76.11764705882354,43.617647058823536,increase,True
warm_nights,99331,Tehran (Geophysic),1991-2007,2008-2024,31.941176470588236,31.176470588235293,-0.764705882352942,increase,False
warm_nights,99407,Boshruyeh,1991-2007,2008-2024,33.705882352941174,63.705882352941174,30.0,increase,True
warm_nights,99421,Natanz,1991-2007,2008-2024,33.0,57.294117647058826,24.294117647058826,increase,True
warm_nights,99459,Borujen,1991-2007,2008-2024,33.705882352941174,66.6470588235294,32.94117647058823,increase,True
warm_nights,99623,Zahak,1991-2007,2008-2024,33.46666666666667,55.0,21.53333333333333,increase,True
cool_days,19996,Bahookalat,1991-2007,2008-2024,30.176470588235293,22.714285714285715,-7.462184873949578,decrease,True
cool_days,40700,Parsabad,1991-2007,2008-2024,34.05882352941177,33.11764705882353,-0.9411764705882391,decrease,True
cool_days,40701,Maku,1991-2007,2008-2024,34.705882352941174,23.352941176470587,-11.352941176470587,decrease,True
cool_days,40702,Jolfa,1991-2007,2008-2024,34.76470588235294,25.764705882352942,-9.0,decrease,True
cool_days,40703,Khoy,1991-2007,2008-2024,34.529411764705884,23.823529411764707,-10.705882352941178,decrease,True
cool_days,40704,Ahar,1991-2007,2008-2024,35.0,25.294117647058822,-9.705882352941178,decrease,True
cool_days,40706,Tabriz,1991-2007,2008-2024,33.411764705882355,25.705882352941178,-7.7058823529411775,decrease,True
cool_days,40708,Ardebil,1991-2007,2008-2024,34.94117647058823,25.235294117647058,-9.705882352941174,decrease,True
cool_days,40709,Astara,1991-2007,2008-2024,34.294117647058826,26.0,-8.294117647058826,decrease,True
cool_days,40710,Sarab,1991-2007,2008-2024,34.294117647058826,28.705882352941178,-5.5882352941176485,decrease,True
cool_days,40712,Orumiyeh,1991-2007,2008-2024,34.529411764705884,21.705882352941178,-12.823529411764707,decrease,True
cool_days,40713,Maragheh-Synoptic,1991-2007,2008-2024,33.8235294117647,16.294117647058822,-17.52941176470588,decrease,True
cool_days,40716,Mianeh,1991-2007,2008-2024,35.294117647058826,19.058823529411764,-16.23529411764706,decrease,True
cool_days,40717,Khalkhal,1991-2007,2008-2024,34.411764705882355,22.0,-12.411764705882355,decrease,True
