index_name,station_id,station_name,cluster_baseline,cluster_hierarchical_complete_euclidean,cluster_hierarchical_ward_euclidean,cluster_hierarchical_average_cityblock,cluster_kmeans
cool_nights,40789,Khur-Va-Biabanak,2,1,4,2,4
cool_nights,40790,Robat-E-Poshtebadam,2,3,2,2,2
cool_nights,40791,Tabas,2,3,2,2,1
cool_nights,40792,Ferdows,2,1,4,2,1
cool_nights,40793,Qaen,2,1,4,2,1
cool_nights,40794,Safiabad (Dezful),2,1,4,2,4
cool_nights,40796,Dehloran,2,1,4,2,1
cool_nights,40797,Kuhrang,2,3,2,2,2
cool_nights,40798,Shahrekord,1,4,1,1,3
cool_nights,40799,Ardestan,2,3,2,2,2
cool_nights,40800,Esfahan,2,3,3,2,1
cool_nights,40801,Naein,2,1,4,2,1
cool_nights,40802,Esfahan (Airport),1,4,1,1,3
cool_nights,40803,Kabutarabad,2,1,3,2,1
cool_nights,40809,Birjand,2,3,2,2,2
cool_nights,40810,Bostan,2,1,4,2,4
cool_nights,40811,Ahvaz,2,3,2,2,2
cool_nights,40812,Masjedsoleyman,2,3,2,2,2
cool_nights,40813,Ramhormoz,2,1,3,2,1
cool_nights,40818,Abadeh,2,1,4,2,1
cool_nights,40821,Yazd,2,1,3,2,1
cool_nights,40827,Nehbandan,2,3,2,2,2
cool_nights,40829,Zabol,2,3,2,2,2
cool_nights,40831,Abadan,2,1,4,2,4
cool_nights,40832,Bandar-E- Mahshahr,2,1,4,2,4
cool_nights,40833,Omidiyeh (Aghajari),2,1,4,2,4
cool_nights,40835,Dogonbadan,2,3,2,2,2
cool_nights,40836,Yasuj,1,4,1,1,3
cool_nights,40839,Anar,2,1,4,2,1
cool_nights,40841,Kerman,2,1,4,2,1
cool_nights,40844,Dorudzan,1,4,1,1,3
cool_nights,40847,Zarqan,2,1,4,2,4
cool_nights,40848,Shiraz,1,4,1,1,3
cool_nights,40849,Shahrebabak,2,3,2,2,2
cool_nights,40851,Sirjan,2,3,2,2,2
cool_nights,40853,Baft,2,1,4,2,4
cool_nights,40854,Bam,2,1,4,2,1
cool_nights,40856,Zahedan,2,3,2,2,2
cool_nights,40857,Bushehr (Coastal),2,1,3,2,1
cool_nights,40858,Bushehr (Airport),2,1,3,2,1
cool_nights,40859,Fasa,2,1,4,2,4
cool_nights,40870,Khash,2,1,4,2,4
cool_nights,40873,Lar,2,1,3,2,1
cool_nights,40875,Bandarabbas,2,3,2,2,2
cool_nights,40876,Minab,2,1,4,2,1
cool_nights,40877,Kahnuj,2,3,2,2,2
cool_nights,40878,Saravan,2,3,2,2,2
cool_nights,40879,Iranshahr,2,3,2,2,2
cool_nights,40882,Kish Island,3,2,3,3,1
cool_nights,40883,Bandar-E-Lengeh,2,3,3,2,1
cool_nights,40889,Siri Island,2,3,3,2,1
cool_nights,40890,Abumusa Island,2,3,3,2,2
cool_nights,40893,Jask,2,1,3,2,1
cool_nights,40898,Chahbahar,2,1,4,2,4
cool_nights,88187,Jam,2,1,4,2,4
cool_nights,99331,Tehran (Geophysic),2,3,2,2,2
cool_nights,99407,Boshruyeh,2,1,4,2,1
cool_nights,99421,Natanz,2,3,2,2,2
cool_nights,99459,Borujen,2,1,4,2,4
cool_nights,99623,Zahak,2,3,2,2,2
warm_days,19996,Bahookalat,1,4,4,2,3
warm_days,40700,Parsabad,2,3,3,3,4
warm_days,40701,Maku,3,2,1,4,1
warm_days,40702,Jolfa,3,1,1,4,2
warm_days,40703,Khoy,3,1,1,4,2
warm_days,40704,Ahar,3,2,1,4,2
warm_days,40706,Tabriz,2,3,2,3,1
warm_days,40708,Ardebil,2,3,2,3,1
warm_days,40709,Astara,2,3,2,3,1
warm_days,40710,Sarab,3,1,1,4,1
warm_days,40712,Orumiyeh,3,2,1,4,2
warm_days,40713,Maragheh-Synoptic,3,2,1,4,2
warm_days,40716,Mianeh,3,2,1,4,2
warm_days,40717,Khalkhal,3,2,1,4,2
warm_days,40718,Bandar-E-Anzali,3,2,1,4,2
warm_days,40719,Rasht,1,4,4,1,3
warm_days,40723,Bojnurd,2,3,3,3,4
warm_days,40724,Piranshahr,3,1,1,4,2
warm_days,40726,Mahabad,3,1,1,4,2
warm_days,40727,Saqez,3,1,1,4,2
